restriction_type,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj,parking_spaces,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Handel Street,WC1N 1BS,CA-D,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530270,182387,-0.123559,51.525382,46035886,Defined By Custodian,2019-11-29T23:01:55.000,"{'latitude': '51.525382', 'longitude': '-0.123559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,12,1,"LINESTRING (530268.7333334284 182384.36227459632,530268.0325032348 182386.25173374426,530273.5402040504 182388.451104181,530274.2080539995 182386.81157349178)","LINESTRING (-0.12357838535188889 51.52535820519022,-0.1235877835799769 51.52537534692094,-0.12350762335359462 51.52539384315791,-0.12349860790591266 51.5253789550846)"
loading / disabled (blue badge),mon-sat 08:30-18:30,loading 40 minutes,N/A,N/A,N/A,Betterton Street,WC2H 9BH,CA-C,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530314,181262,-0.123341,51.515262,46042439,Defined By Custodian,2019-11-29T23:01:57.000,"{'latitude': '51.515262', 'longitude': '-0.123341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,77,1,"LINESTRING (530310.2966864391 181257.55481987505,530319.349763528 181266.4522730056)","LINESTRING (-0.12339608762835111 51.515222199542436,-0.1232624041631887 51.515300073271824)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Belsize Terrace,NW3 4AX,CA-B,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526888,184937,-0.171364,51.549068,46047394,Defined By Custodian,2019-11-29T23:02:09.000,"{'latitude': '51.549068', 'longitude': '-0.171364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,41,1,"LINESTRING (526886.2547321299 184933.30264800412,526889.618717059 184936.02186963503,526887.9037443501 184938.24123434848,526884.0615458769 184935.47202702583)","LINESTRING (-0.17139126253914977 51.549034905570856,-0.1713417922016732 51.54905858756215,-0.17136571261926112 51.54907891824329,-0.17142209418869706 51.54905489444013)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Lancaster Grove,NW3 4EU,CA-B,CA-B,1221,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.171173,51.546562,46127419,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.546562', 'longitude': '-0.171173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},1,1,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Fairfax Road,NW6 4EW,CA-K,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526383,184320,-0.178865,51.543636,46046689,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.543636', 'longitude': '-0.178865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,119,1,"LINESTRING (526382.7700759912 184324.14701698968,526384.4603135169 184323.58717724215,526382.267127264 184316.91908596343,526380.6346051659 184317.3889514658)","LINESTRING (-0.1788674531865808 51.54367327045037,-0.1788432929633475 51.543667861041804,-0.17887729665034838 51.54360842518639,-0.17890065729916946 51.54361301307431)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Osnaburgh Street,NW1 3PA,CA-G,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.142626,51.525782,46127246,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.525782', 'longitude': '-0.142626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},15,103,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Maple Street,W1T 5HA,CA-E,N/A,968,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.137515,51.522796,46129397,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.522796', 'longitude': '-0.137515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,13,,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Newton Street,WC2B 5EG,CA-C,N/A,1031,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.121763,51.516754,46128405,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.516754', 'longitude': '-0.121763', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,77,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Rochester Road,NW1 9JH,CA-G,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.137824,51.544905,46126935,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.544905', 'longitude': '-0.137824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,25,1,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Sumatra Road,NW6 1PD,CA-P,N/A,962,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.191898,51.549105,46129734,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.549105', 'longitude': '-0.191898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,132,1,,
disabled (dedicated),mon-fri 08:30-18:00,N/A,N/A,N/A,N/A,Rosemont Road,NW3 6ND,CA-R,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.181912,51.549238,46126938,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.549238', 'longitude': '-0.181912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,131,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Canfield Gardens,NW6 3JN,CA-R,CA-R;CA-K,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526154,184536,-0.182088,51.545629,46046714,Defined By Custodian,2019-11-29T23:02:07.000,"{'latitude': '51.545629', 'longitude': '-0.182088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,119,1,"LINESTRING (526157.8035838476 184537.73587781427,526156.4513938271 184538.98552010788,526151.8671398548 184534.29686222223,526153.112144081 184533.05721706696)","LINESTRING (-0.18203333207002145 51.545643086322556,-0.18205237404651037 51.54565461889463,-0.18212012948225634 51.545613505327815,-0.18210262884531178 51.54560208654661)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lady Margaret Road,NW5 2NP,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529285,185610,-0.136566,51.554573,46045221,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.554573', 'longitude': '-0.136566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,80,1,"LINESTRING (529288.8820271125 185611.6684678081,529287.4061611755 185612.66818164298,529283.9762157574 185607.6596153302,529285.4355915723 185606.64990435695)","LINESTRING (-0.1365099938705407 51.5545865198123,-0.13653090264486478 51.55459584184364,-0.13658218862995794 51.55455161581447,-0.13656152125864346 51.554542207723834)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Fordwych Road,NW2 3NX,CA-Q,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524143,185540,-0.21072,51.555098,46043809,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.555098', 'longitude': '-0.21072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,30,1,"LINESTRING (524143.1146587327 185544.8575922223,524141.4656465125 185543.50797854518,524145.50572645204 185537.83960110135,524147.2619244666 185539.22920333187)","LINESTRING (-0.21071735763172775 51.555140710539895,-0.2107416065416642 51.555128943694115,-0.21068535938679755 51.55507711199638,-0.2106595511339226 51.555089214653826)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Healey Street,NW1 8SN,CA-F,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528698,184607,-0.145395,51.545693,46045294,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.545693', 'longitude': '-0.145395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},12,86,1,"LINESTRING (528696.5403474873 184604.5567505384,528698.4202214184 184604.34681063308,528699.203502223 184610.10516232206,528697.2824029864 184610.3850821958)","LINESTRING (-0.14541742878519903 51.54567100314661,-0.1453904105398221 51.54566868822211,-0.1453770159203638 51.54572025955115,-0.14540460280312995 51.545723212772785)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Hilgrove Road,NW6 4TN,CA-K,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526394,184120,-0.178778,51.541837,46046663,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.541837', 'longitude': '-0.178778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,120,1,"LINESTRING (526398.0316840892 184119.12570373013,526397.6606563397 184120.70525158927,526391.6994771636 184119.5055949874,526392.1034851576 184117.80608146806)","LINESTRING (-0.1787210905570586 51.541827319630364,-0.17872587085104083 51.54184159810802,-0.17881221585178972 51.54183215026644,-0.17880700327707835 51.54181678627711)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Morwell Street,WC1B 3AN,CA-C,N/A,1192,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.130809,51.51795,46129324,Defined By Custodian,2019-11-29T23:02:14.000,"{'latitude': '51.51795', 'longitude': '-0.130809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,14,1,,
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Mill Lane,NW6 1LX,CA-P,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.201693,51.55091,46126916,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.55091', 'longitude': '-0.201693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,34,1,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Baldwin's Gardens,EC1N 7SB,CA-D,N/A,997,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531111,181784,-0.111667,51.519769,46042988,Defined By Custodian,2019-11-29T23:01:58.000,"{'latitude': '51.519769', 'longitude': '-0.111667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},11,73,1,"LINESTRING (531111.4362933885 181784.17407668085,531110.661257645 181786.0235472754,531105.2524975627 181783.92414822214,531106.1264740394 181781.8747348606)","LINESTRING (-0.1116611853279633 51.51976964920051,-0.11167166176202485 51.51978644965773,-0.11175035430543988 51.51976883687115,-0.11173852697988339 51.519750216642244)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Brill Place,NW1 1AT,CA-G,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",0,0,-0.128033,51.531854,46126953,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.531854', 'longitude': '-0.128033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,115,2,,
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Bartholomew Road,NW5 2AH,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529278,184625,-0.137029,51.545722,46048369,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.545722', 'longitude': '-0.137029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,25,1,"LINESTRING (529281.3790215106 184623.19141642077,529281.5109424882 184625.05088415366,529275.4095972733 184625.59072962453,529275.2446960513 184623.80124186006)","LINESTRING (-0.13698122383070518 51.545704948785165,-0.13697863957240186 51.54572162939417,-0.13706638089361547 51.54572787701907,-0.13706941477093587 51.545711832855254)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Frognal,NW3 6AP,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526268,185062,-0.180256,51.550331,46035102,Defined By Custodian,2019-11-29T23:01:53.000,"{'latitude': '51.550331', 'longitude': '-0.180256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},6,40,1,"LINESTRING (526266.7125959321 185059.24659692374,526268.6089599853 185059.65647959604,526267.4546514312 185065.97467103257,526265.4511015835 185065.55479122192)","LINESTRING (-0.18027649315732677 51.55030559792038,-0.1802490101137482 51.55030885763353,-0.18026338260427516 51.55036589754874,-0.18029241434692866 51.55036257194822)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Sharpleshall Street,NW1 8YL,CA-J,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527903,184072,-0.157048,51.541066,46047827,Defined By Custodian,2019-11-29T23:02:10.000,"{'latitude': '51.541066', 'longitude': '-0.157048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},3,18,1,"LINESTRING (527905.3855095312 184069.6198746263,527906.2347508246 184071.56931660435,527900.875461109 184074.13858116002,527900.05920006 184072.09916493684)","LINESTRING (-0.15701488152979184 51.541043208308785,-0.15700193426636377 51.541060535662545,-0.15707823827464323 51.54108483866236,-0.15709074289203545 51.54106669523906)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Endsleigh Gardens,WC1H 0EB,CA-D,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529709,182492,-0.131602,51.526455,46036256,Defined By Custodian,2019-11-29T23:01:56.000,"{'latitude': '51.526455', 'longitude': '-0.131602', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},2,11,3,"LINESTRING (529715.9267217829 182500.02916529326,529717.0892753982 182498.12970900696,529701.2670031452 182487.84265364593,529700.0879594077 182489.85207845407)","LINESTRING (-0.13149990923365204 51.52652479729452,-0.13148385939810664 51.52650746038826,-0.13171559720037948 51.526418642263195,-0.1317318441981425 51.52643697119353)"
disabled (dedicated),at any time,N/A,N/A,N/A,N/A,Hilgrove Road,NW6 4TN,CA-K,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526419,184125,-0.178416,51.541876,46046665,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.541876', 'longitude': '-0.178416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},17,120,1,"LINESTRING (526422.8575630647 184124.44418133175,526422.5195155595 184125.9837406375,526416.4676407113 184124.66411837543,526416.8634036442 184123.15455048476)","LINESTRING (-0.1783613828340992 51.54186956273674,-0.1783657020564222 51.54188347447004,-0.17845339741425162 51.54187296904946,-0.17844823558464973 51.54185931394019)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Chetwynd Road,NW5 1DD,CA-U,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528960,186107,-0.141069,51.559114,46044956,Defined By Custodian,2019-11-29T23:02:03.000,"{'latitude': '51.559114', 'longitude': '-0.141069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},10,70,1,"LINESTRING (528962.707409953 186110.85557698447,528963.6308567964 186109.66591752094,528957.323385054 186105.64706790468,528956.5318591883 186106.79673881482)","LINESTRING (-0.14102918595563374 51.559147178114635,-0.14101630808157198 51.559136276193165,-0.14110871830307625 51.55910160010241,-0.1411197088753991 51.559112112532254)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Fleet Road,NW3 2QS,CA-B,N/A,29,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527716,185394,-0.159263,51.552989,46046382,Defined By Custodian,2019-11-29T23:02:06.000,"{'latitude': '51.552989', 'longitude': '-0.159263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,47,4,"MULTILINESTRING ((527721.7597537487 185396.28012208073,527716.9034127601 185394.08075164395,527715.9469856723 185395.96021365357),(527721.7597537487 185396.28012208073,527720.7950815998 185398.2795497505),(527726.4429484541 185398.59945817766,527721.7597537487 185396.28012208073),(527726.4429484541 185398.59945817766,527725.4617861831 185400.55889729405),(527731.9424042086 185401.32867694693,527726.4429484541 185398.59945817766),(527731.9424042086 185401.32867694693,527730.9612419375 185403.33810175507),(527736.5926186695 185403.6380159055,527731.9424042086 185401.32867694693),(527736.5926186695 185403.6380159055,527735.8505631705 185405.59745502193),(527736.5926186695 185403.6380159055,527736.2463261033 185403.6380159055))","MULTILINESTRING ((-0.15917997878988763 51.55300735863676,-0.15925078409370141 51.5529886911773,-0.1592638897282505 51.55300579786583),(-0.15917997878988763 51.55300735863676,-0.15919315973409928 51.55302554531155),(-0.15911162591781927 51.553027143316555,-0.15917997878988763 51.55300735863676),(-0.15911162591781927 51.553027143316555,-0.15912505906510863 51.55304497435612),(-0.15903135730899653 51.55305042694755,-0.15911162591781927 51.553027143316555),(-0.15903135730899653 51.55305042694755,-0.15904477229328445 51.55306870721056),(-0.15896348336707117 51.553070129155856,-0.15903135730899653 51.55305042694755),(-0.15896348336707117 51.553070129155856,-0.15897346958030784 51.55308790614591),(-0.15896348336707117 51.553070129155856,-0.1589684754082606 51.5530702074595))"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Dornfell Street,NW6 1QN,CA-P,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",524923,185092,-0.199634,51.550899,46043861,Defined By Custodian,2019-11-29T23:02:00.000,"{'latitude': '51.550899', 'longitude': '-0.199634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},5,32,1,"LINESTRING (524927.6487126246 185092.24715061352,524927.0055978587 185093.99664982458,524920.6486557497 185091.80727652617,524921.2587902712 185090.05777731512)","LINESTRING (-0.19956749097767215 51.55089996167551,-0.19957614139874394 51.550915827081816,-0.19966855483442636 51.55089755686988,-0.19966037980273738 51.55088169876396)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Lawford Road,NW5 2AL,CA-M,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529331,184693,-0.13624,51.546321,46048390,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.546321', 'longitude': '-0.13624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,25,1,"LINESTRING (529334.5184403071 184690.7420802444,529334.6750964681 184692.7215136375,529328.9942493694 184693.37132763016,529328.8211030862 184691.33191140697)","LINESTRING (-0.13619050064549929 51.54629985554061,-0.13618751546373614 51.54631760858212,-0.13626915663855177 51.54632474881821,-0.13627240150300776 51.54630646049159)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Iverson Road,NW6 2RA,CA-Q,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525224,184711,-0.195431,51.547409,46044278,Defined By Custodian,2019-11-29T23:02:01.000,"{'latitude': '51.547409', 'longitude': '-0.195431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},18,132,1,"LINESTRING (525227.9173478044 184711.49613945675,525227.1258219387 184713.15566442267,525221.8324927118 184710.5264170369,525222.6982241274 184708.76692068749)","LINESTRING (-0.19537450111499186 51.54741160004685,-0.19538531985719923 51.547426689899495,-0.19546255411793756 51.54740423402941,-0.19545070131258568 51.547388229276606)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Downshire Hill,NW3 1PA,CA-H,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526856,185574,-0.171596,51.5548,46049288,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.5548', 'longitude': '-0.171596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},8,55,1,"LINESTRING (526856.6796979601 185578.5579455965,526858.2545046305 185577.36828613296,526853.9258475524 185572.31973126676,526852.3263056988 185573.6793420822)","LINESTRING (-0.17158506835912563 51.5548404125818,-0.17156279407323335 51.55482936745261,-0.17162701672310146 51.55478496900431,-0.17164958635521582 51.55479754701373)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,St Augustine's Road,NW1 9RP,CA-N,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529849,184561,-0.128822,51.545016,46048323,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.545016', 'longitude': '-0.128822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,23,1,"LINESTRING (529853.2564594828 184562.5587723346,529851.8053287291 184563.73843465978,529847.6910432396 184558.96979966733,529849.2658499099 184557.72015737373)","LINESTRING (-0.1287610651257247 51.54502889596052,-0.12878154497885527 51.545039830913346,-0.12884260247777612 51.54499792171169,-0.12882036591566606 51.54498632944616)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Cressy Road,NW3 2ND,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527563,185496,-0.161432,51.55394,46046043,Defined By Custodian,2019-11-29T23:02:05.000,"{'latitude': '51.55394', 'longitude': '-0.161432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},7,46,1,"LINESTRING (527560.8491412996 185493.762218121,527562.6877899251 185493.03242702154,527564.9881619724 185499.27064135124,527563.1247781635 185499.95044675897)","LINESTRING (-0.16146428894730497 51.553919774594455,-0.16143804750859045 51.55391280087278,-0.16140262474998832 51.55396834336879,-0.1614292409115966 51.553974873469386)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,Drummond Crescent,NW1 1LE,CA-G,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529720,182858,-0.131309,51.529741,46049526,Defined By Custodian,2019-11-29T23:02:13.000,"{'latitude': '51.529741', 'longitude': '-0.131309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},16,114,1,"LINESTRING (529721.2860114987 182860.43599991,529720.9644541157 182858.4365722402,529720.7335924049 182858.4765607936,529715.0197650618 182859.5962402887,529715.2671168948 182861.47570229828)","LINESTRING (-0.13129002892709227 51.529762493800284,-0.131295398017769 51.52974459901669,-0.1312987095641499 51.529745011365755,-0.13138062251436483 51.52975638493249,-0.13137636677628695 51.52977321863331)"
disabled (blue badge),at any time,N/A,N/A,N/A,N/A,St Augustine's Road,NW1 9AX,CA-N,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529918,184651,-0.127795,51.545809,46048420,Defined By Custodian,2019-11-29T23:02:11.000,"{'latitude': '51.545809', 'longitude': '-0.127795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",{'url': 'http://opendatacommunities.org/id/london-borough-council/camden'},4,28,1,"LINESTRING (529918.3099915705 184655.0223049237,529919.7611223243 184653.8126511835,529919.6951618355 184653.73267407672,529916.314686784 184649.45389886337,529916.232236173 184649.34393034154,529914.7068998694 184650.69354401864)","LINESTRING (-0.12778933475281903 51.545844891669866,-0.1277688658544438 51.5458336870154,-0.12776984606626862 51.54583298344602,-0.12782014829014496 51.545795308340274,-0.1278213772422488 51.545794339035595,-0.1278428640187792 51.5458068185391)"
